Unnamed: 0,questions,answers,classes
333,Какие языки обучения предлагаются для бакалавриата в Astana IT University?,Обучение на бакалавриате в Astana IT University предлагается на английском языке.,"Поступление, Образовательные программы"
334,Какие возможности предоставляет университет для студенческой жизни и участия в стартап-сообществе?,Astana IT University предоставляет яркую студенческую жизнь и возможности участия в стартап-сообществе. Университет поддерживает стартап-коммьюнити и предоставляет возможности для студентов активно участвовать в стартап-проектах и предпринимательской деятельности,Студенческая жизнь
335,Какие образовательные программы предлагает Astana IT University для бакалавриата?,"Astana IT University предлагает разнообразные образовательные программы для бакалавриата, информация о которых предоставляется на официальном сайте университета: https://astanait.edu.kz/programs/","Образовательные программы, Специальности, Общая информация"
336,Какая образовательная программа предлагается в докторантуре с кодом 8D06101?,В докторантуре с кодом 8D06101 предлагается образовательная программа Computer Science (Компьютерные науки),"Образовательные программы, Специальности"
337,Какая образовательная программа предлагается в докторантуре с кодом 8D04102?,В докторантуре с кодом 8D04102 предлагается образовательная программа Project Management (Управление проектами),Образовательные программы
338,Какая цель образовательной программы Компьютерные науки (код 8D06101) в докторантуре?,"Цель образовательной программы Компьютерные науки в докторантуре (код 8D06101) заключается в подготовке докторов философии (PhD) через реализацию теоретических и/или прикладных исследований в областях вычислимости, формальных методов, моделирования, алгоритмов, а также организационного сопровождения инженерии на стыке компьютерных наук и других областей знаний.","Образовательные программы, Специальности"
339,Какие результаты обучения предполагаются после успешного завершения образовательной программы Компьютерные науки в докторантуре?,"После успешного завершения образовательной программы 'Компьютерные науки' в докторантуре обучающийся будет способен:
1. Определить объем и задачи исследований с теоретической и практической ориентацией на программирование, кодирование и вычисления.
2. Синтезировать и/или подбирать соответствующий подход к реализации научно-экспериментального исследования на стыке наук.
3. Применять проектный подход науке: распределять ресурсы и организовывать труд в соответствие с Agile манифестом.
4. Объяснять сложные идеи, создавать концептуальные диаграммы, описывающие строение систем, явления и процессы.
5. Формализовать алгоритмы, вычислительные модели и компьютерные программы, анализировать их свойства.
6. Критически анализировать свойства различных классов аналитических задач и аргументировано синтезировать метод их решения с учетом аспектов валидации и интерпретации результатов.","Образовательные программы, Специальности"
340,Какие типы жилых помещений предоставляет университет своим студентам?,"Университет предоставляет студентам три типа жилых помещений: двухместные, трехместные и четырехместные комнаты.","Общежитие, Студенческая жизнь"
341,Какие условия проживания предоставляются студентам в общежитии университета?,"В общежитии университета для студентов предоставляются хорошие условия проживания, включая учебные комнаты, комнаты отдыха, кухни и столовые, а также прачечные. Также у каждого жилого комплекса есть воспитатели и администраторы, которые обеспечивают поддержку и контроль за порядком.","Общежитие, Студенческая жизнь"
342,Какие категории студентов имеют приоритет при распределении мест в общежитии?,"При распределении мест в общежитии приоритет имеют следующие категории студентов:
1. Лица с ограниченными возможностями в развитии, инвалиды и инвалиды с детства, дети-инвалиды, дети-сироты и дети, оставшиеся без попечения родителей, лица, у которых один или оба родителя являются инвалидами.
2. Лица, оставшиеся без попечения родителей до совершеннолетия, приравненные по льготам к участникам и инвалидам Великой Отечественной войны, лица из числа сельской молодежи, поступившие на обучение по образовательным программам, определяющим социально-экономическое развитие села, а также оралманы, не являющиеся гражданами Республики Казахстан.
3. Обучающиеся, в рамках проекта «Мәңгілік ел жастары — индустрияға!» («Серпін — 2050»).
4. Обучающиеся с высокими достижениями в образовании и научной работе, победители или призеры олимпиад и конкурсов.","Общежитие, Студенческая жизнь"
343,Какие задачи ставят перед образовательной программой Компьютерные науки в докторантуре?,"Образовательная программа Компьютерные науки в докторантуре направлена на формирование у обучающихся следующих задач:
1.Навыков определения технологических проблем, критической и экспертной оценки путей их решения и прогноза ожидаемых результатов на стыке компьютерных наук и иных областей знаний,
2.Научного подхода к решению задач, способности синтезировать неочевидные решения проблем, формулировать их в виде проектных задач и оценивать ход их исполнения.
3.Навыков научного стиля повествования (изложения) для объяснения сложных концепций и инновационных идей широкой публике и научному сообществу в письменном виде и риторике,
4.Навыков педагогической, научной и конструкторской деятельности, составления отчетов, публикации результатов в рейтинговых журналах и разработки научно-технической документации","Образовательные программы, Общая информация"
344,Как студенты могут подать заявление на предоставление места в общежитии?,"Чтобы получить место в общежитии университета, иногородние студенты должны подать заявление на предоставление места через онлайн систему на официальном сайте университета. При подаче заявления необходимо прикрепить соответствующие документы, такие как удостоверение личности и документы, подтверждающие льготы (если таковые имеются).",Поступление
345,"Что необходимо сделать студентам, которым предоставлено место в общежитии, чтобы заключить договор на проживание?","Студенты, которым предоставлено место в общежитии, должны в установленный срок заключить Договор аренды жилого помещения с университетом. Для этого они должны предоставить удостоверение личности, ордер на заселение, медицинскую справку с результатами медицинского обследования в студенческой поликлинике и квитанцию об оплате за проживание.",Поступление
346,Какие способы оплаты предусмотрены для оплаты за проживание в общежитии?,"Студенты могут оплатить проживание в общежитии следующими способами:
1. Через мобильное приложение Halyk Bank - Homebank.
2. На кассе отделения Halyk Bank.",Стипендии
347,Какие условия обеспечиваются для комфорта проживания студентов в общежитии?,"Для комфорта проживания студентов в общежитии университета предусмотрены учебные комнаты, комнаты отдыха, кухни и столовые. Также общежитие оснащено прачечной с автоматическими стиральными машинами, сушильными и гладильными комнатами. Для студентов доступен интернет через Wi-Fi. Каждая комната оборудована кроватями, рабочими столами и шкафами.",Студенческая жизнь
348,Срок обучения в AITU?,"Срок обучения в AITU — 3 года. Наши студенты оканчивают университет на 1 год раньше, за счет интенсивности обучения. Студенты AITU учатся до июля месяца, тем самым закрывают больше кредитов.","Образовательные программы, Учебный процесс, Общая информация"
349,Какова стоимость обучения у вас в университете?,"Стоимость обучения в нашем университете составляет 2,500,000 (два миллиона пятьсот тысяч) тенге в год, без учета скидок.",Стипендии
350,Есть ли у вас общежитие?," Да. В 15 минутах от университета расположены три дома студентов для мальчиков и для девочек, в ЖК EXPO Residence.",Студенческая жизнь
351,На каком языке проводится обучение?,Обучение в Astana IT University ведется полностью на английском языке.,"Поступление, Общая информация"
352,Есть ли в университете военная кафедра?,"В Astana IT University имеется военная кафедра. Наши студенты, могут получить звание офицер запаса, по 6 специализациям: кибербезопасность, геоинформационные системы, применение подразделений и частей топогеодезического обеспечения, организация воспитательной и идеологической работы в Сухопутных войсках, организация психологической работы, информационное обеспечение функционирования автоматизированных систем управления. Так же могут получить сержант запаса, по 3 специализациям: Топогеодезия, штабные, электронно-вычислительные машины.","Образовательные программы, Учебный процесс, Общая информация"
353,Какой пороговый балл для поступления на грант?,"Порогового балла для поступления на грант не бывает. Для подачи заявления на грант вам нужно набрать не менее 70 или 85 баллов (в зависимости от образовательной программы), а также не менее 5 баллов по каждому предмету на ЕНТ и сдать вступительные экзамены AET. Далее гранты будут распределяться по баллам. В первую очередь гранты получают абитуриенты с наивысшими результатами.","Поступление, Общая информация"
354,Можно ли поступить в университет с баллами MESC?,"Вы можете поступить в университет с баллами MESC, при условии их конвертации в баллы ЕНТ. Данную процедуру вы можете провести на базе Национального Центра Тестирования.","Поступление, Общая информация"
355,Можно ли поступить в университет с баллами SAT?,"Вы можете поступить в университет с баллами SAT, при условии их конвертации в баллы ЕНТ. Данную процедуру вы можете провести на базе Национального Центра Тестирования.","Поступление, Общая информация"
356,Вопрос 1: Какие виды скидок предоставляются обучающимся на платной основе в бакалавриате на первом курсе?,"Обучающимся на платной основе в бакалавриате на первом курсе предоставляются следующие виды скидок:
1. Обладателям знака «Алтын белгі» – 30%.
2. Обладателям аттестата особого образца или диплома о техническом и профессиональном образовании с отличием – 30%.
3. Выпускникам, успешно окончившим программу технического и профессионального или послесреднего образования университета – 20%.
4. Победителям и призерам Республиканской олимпиады по профильным предметам образовательной программы и Республиканского конкурса научных проектов по профилю образовательной программы (1 место – 30%, 2 место – 20%, 3 место – 20%).
5. Победителям и призерам областных туров Республиканской олимпиады по профильным предметам образовательной программы и Республиканского конкурса научных проектов по профилю образовательной программы (1 место – 30%, 2 место – 20%, 3 место – 20%).
6. Лицам, набравшим по итогам ЕНТ 100 баллов и выше – 30%.
7. Лицам, имеющим один из международных сертификатов, подтверждающих владение иностранным языком в соответствии с общеевропейскими компетенциями (стандартами) владения иностранным языком – 20% (IELTS, TOEFL ITP, TOEFL IBT, TOEFL PBT, TOEFL PDT).
8. Лицам, у которых один из родителей или оба родителя являются лицом с ограниченными физическими возможностями, или оба родителя являются пенсионерами – 30%.
9. Лицам, у которых один родитель является пенсионером – 20%.
10. Лицам, являющимися детьми из числа неполных семей – 30%.
11. Лицам из многодетных семей, воспитывающих 4 или более несовершеннолетних детей – 30%.
12. Лицам, из семей, обучающих одновременно в университете на программе высшего образования на платной основе двух и более членов семьи – 20%.
13. Сотрудникам, детям сотрудников университета – 50%.
14. Лицам с ограниченными физическими возможностями – 30%.
15. Лицам, оставшимся без попечительства родителей, сиротам – 30%.",Стипендии
357,"Каковы основные образовательные программы, предлагаемые университетом?","Университет предлагает широкий спектр образовательных программ, включая программы бакалавриата и магистратуры в области информационных технологий, компьютерных наук, бизнес-информатики, кибербезопасности и других смежных специальностей.",Образовательные программы
358,Какие возможности для стажировок и практик предоставляет университет?,"Университет активно сотрудничает с различными компаниями и предоставляет студентам возможности для стажировок и практик. Студенты могут получить опыт работы в известных IT-компаниях, стартапах и организациях, что поможет им приобрести ценные навыки и контакты в индустрии.",Прочее
359,Какова репутация университета на рынке труда?,"Университет имеет прочную репутацию на рынке труда, и его выпускники востребованы работодателями. Многие студенты успешно трудоустроились в крупных IT-компаниях и стартапах как в Казахстане, так и за рубежом.",Прочее
360,Какие мероприятия и клубы существуют для студентов в университете?,"Университет активно поддерживает студенческую жизнь и предлагает разнообразные мероприятия и клубы. Студенты могут принять участие в научных конференциях, спортивных событиях, художественных выставках и других культурных мероприятиях. Также в университете действуют студенческие объединения по интересам, которые позволяют студентам раскрыть свой потенциал и найти новых друзей.",Студенческая жизнь
361,Каковы перспективы для международных студентов в университете?,Университет приветствует международных студентов и предоставляет возможности для их обучения. Международные студенты могут учиться на английском языке и получить высококачественное образование в сфере информационных технологий. Университет также оказывает поддержку международным студентам в адаптации к новой среде и обеспечивает условия для успешного обучения и развития.,Прочее
362,Какие скидки присваиваются обучающимся один раз в первом академическом периоде и действуют весь период обучения?,"Скидки, присваиваемые обучающимся один раз в первом академическом периоде и действующие весь период обучения при условии сдачи экзаменационных сессий с оценками А, А-, В+, В, В- и (или) С+, включают следующие скидки:
1. Обладателям знака «Алтын белгі» – 30%.
2. Обладателям аттестата особого образца или диплома о техническом и профессиональном образовании с отличием – 30%.
3. Выпускникам, успешно окончившим программу технического и профессионального или послесреднего образования университета – 20%.
4. Победителям и **призерам Республиканской олимпиады** по профильным предметам образовательной программы и **Республиканского конкурса научных проектов** по профилю образовательной программы:
   - 1 место – 30%
   - 2 место – 20%
   - 3 место – 20%.",Стипендии
363,"Какие скидки действуют на протяжении всего периода обучения, без ограничения по академическому периоду?","Скидки, действующие на протяжении всего периода обучения без ограничения по академическому периоду, включают следующие виды:
1. Лицам, имеющим один из международных сертификатов, подтверждающих владение иностранным языком в соответствии с общеевропейскими компетенциями (стандартами) владения иностранным языком – 20%.
   - International English Language Tests System (IELTS), пороговый балл – не менее 6.0
   - Test of English as a Foreign Language Institutional Testing Programm (TOEFL ITP), не менее 163 баллов
   - Test of English as a Foreign Language Institutional Testing Programm Internet-based Test (TOEFL IBT), пороговый балл – не менее 46
   - Test of English as a Foreign Language Paper-based testing (TOEFL PBT), пороговый балл – не менее 453
   - Test of English as a Foreign Language Paper-delivered testing (TOEFL PDT), пороговый балл – не менее 65.
2. Лицам, у которых один из родителей или оба родителя являются лицом с ограниченными физическими возможностями – 30%.
3. Лицам, у которых один родитель является пенсионером – 20%.
4. Лицам, являющимися детьми из числа неполных семей – 30%.
5. Лицам из многодетных семей, воспитывающих 4 или более несовершеннолетних детей – 30%.
6. Лицам, из семей, обучающих одновременно в университете на программе высшего образования на платной основе двух и более членов семьи – 20%.
7. Сотрудникам, детям сотрудников университета – 50%.
8. Лицам с ограниченными физическими возможностями – 30%.
9. Лицам, оставшимся без попечительства родителей, сиротами – 30%.",Стипендии
364,Какие условия позволяют обучающимся претендовать на получение скидки в размере 30% на протяжении всего периода обучения?,"Обучающиеся на программах высшего образования на платной основе, не имеющие текущей академической задолженности, набравшие GPA не ниже 3.2 балла за весь период обучения и успешно сдавшие экзаменационную сессию предыдущего академического периода (с оценками А, А-, В+, В, В-) могут претендовать на получение скидки в размере 30%. Эта скидка действует на протяжении всего оставшегося периода обучения при условии сдачи обучающимися экзаменационных сессий с оценками А, А-, В+, В и (или) В-.",Стипендии
366,На каком языке проводится обучение?," ""Обучение в Astana IT University ведется полностью на английском языке.""",Прочее
367,Есть ли в университете военная кафедра?,"В Astana IT University имеется военная кафедра. Наши студенты могут получить звание офицер запаса, по 6 специализациям: кибербезопасность, геоинформационные системы, применение подразделений и частей топогеодезического обеспечения, организация воспитательной и идеологической работы в Сухопутных войсках, организация психологической работы, информационное обеспечение функционирования автоматизированных систем управления. Также могут получить сержант запаса, по 3 специализациям: Топогеодезия, штабные, электронно-вычислительные машины.",Прочее
370,Когда будет проведен AITU Excellence Test в регионах?,AITU Excellence Test в регионах будет проведен 7 августа.,Прочее
371,Когда будет проведен AITU Excellence Test в Астане?,AITU Excellence Test в Астане состоится 8 августа.,Прочее
372,Какие виды скидок предоставляются обучающимся на платной основе в бакалавриате на первом курсе?,"Обучающимся на платной основе в бакалавриате на первом курсе предоставляются следующие виды скидок: отличникам, призерам олимпиад, выпускникам технического образования, победителям и призерам олимпиад и конкурсов, лицам с ограниченными возможностями и другие.",Прочее
373,"Какие скидки действуют на протяжении всего периода обучения, без ограничения по академическому периоду?","Скидки, действующие на протяжении всего периода обучения, включают скидки для обладателей международных сертификатов, детей сотрудников, многодетных семей и другие.",Прочее
374,"Какие скидки могут быть пересмотрены один раз в учебном году и что происходит с обучающимися, не соответствующими критериям?","Скидки для обучающихся могут быть пересмотрены один раз в учебном году для проверки соответствия критериям. Если обучающийся не соответствует критериям, он лишается права на получение указанных скидок.",Прочее
375,Как долго действуют скидки для магистрантов на программе послевузовского образования при условии успешной сдачи экзаменационных сессий?,"Скидки для магистрантов на программе послевузовского образования действуют на протяжении всего периода обучения при условии успешной сдачи экзаменационных сессий с оценками А, А-, В+, В, В- и (или) С+.",Прочее
376,"Какой размер скидки предоставляется обладателям диплома предыдущего уровня образования с GPA 3,6 или выше?","Обладателям диплома предыдущего уровня образования с GPA 3,6 или выше предоставляется скидка в размере 20%.",Прочее
377,Кто имеет право на скидку в размере 30%?,Право на скидку в размере 30% имеют обладатели диплома с отличием предыдущего уровня образования.,Прочее
378,Какие условия необходимы для получения скидки в размере 20% выпускникам Университета?,Для получения скидки в размере 20% выпускникам Университета необходимо успешно окончить программу предыдущего уровня образования.,Прочее
379,Какие документы необходимо предоставить для получения скидки на бакалавриате?,"Для получения скидки на бакалавриате необходимо предоставить документы, подтверждающие звание 'Алтын белгі', аттестат особого образца или диплом с отличием, а также свидетельство успешного окончания программы технического образования или послесреднего образования университета.",Прочее
380,Какие критерии участия в Республиканской олимпиаде и конкурсе научных проектов для получения скидки?,"Для участия в Республиканской олимпиаде и конкурсе научных проектов для получения скидки необходимо занять 1, 2 или 3 место по профильным предметам образовательной программы.",Прочее
381,Как долго будут действовать скидки для магистрантов на программе послевузовского образования?,"Скидки для магистрантов на программе послевузовского образования будут действовать на протяжении всего периода обучения, при условии успешной сдачи экзаменационных сессий с оценками не ниже 'В-'.",Прочее
382,"Что произойдет, если обучающийся не соответствует критериям для скидки?","Если обучающийся не соответствует критериям для получения скидки, он лишается права на получение указанных скидок и должен будет платить полную стоимость обучения.",Прочее
383,Какие дополнительные скидки предоставляются для выпускников Университета?,Для выпускников Университета предоставляются дополнительные скидки в размере 20% при условии успешного окончания программы предыдущего уровня образования и 30% для выпускников с отличием.,Прочее
384,"Что делать, если у меня возникли вопросы о программе бакалавриата в Astana IT University (AITU)?","Если у вас возникли вопросы о программе бакалавриата в AITU, вы можете связаться с приемной комиссией по телефону +7 7172 646 773 или отправить электронное письмо на адрес info@astanait.edu.kz.",Прочее
385,Какие предметы входят в программу бакалавриата по компьютерным наукам в AITU?,"В программу бакалавриата по компьютерным наукам в AITU входят такие предметы, как программирование, алгоритмы и структуры данных, базы данных, компьютерные сети, искусственный интеллект и многое другое.",Прочее
386,Какие возможности стажировки предоставляет Astana IT University (AITU) для студентов?,Astana IT University предоставляет студентам возможности стажировки в ведущих IT-компаниях и организациях Казахстана. Стажировки позволяют студентам получить практический опыт работы в индустрии информационных технологий и улучшить свои навыки.,Прочее
387,Какая длительность программы магистратуры в Astana IT University (AITU)?,Программа магистратуры в AITU имеет длительность 2 года.,Прочее
388,Каковы языковые требования для поступления в AITU?,"Для поступления в AITU, студентам необходимо продемонстрировать достаточный уровень владения английским языком. Это может быть подтверждено результатами теста IELTS или TOEFL. Однако, AITU также предлагает возможность пройти вступительные испытания на английском языке.",Прочее
389,Какие дополнительные активности предоставляет AITU для студентов?,"Astana IT University предоставляет студентам возможность участвовать в различных клубах и общественных организациях, таких как клуб программистов, киберспорт, студенческое самоуправление и другие. Также организуются мероприятия, конференции и семинары для обмена знаний и опыта.",Прочее
390,Каковы перспективы трудоустройства для выпускников AITU?,"Выпускники AITU имеют отличные перспективы трудоустройства в индустрии информационных технологий. Университет активно сотрудничает с ведущими компаниями, что обеспечивает студентам доступ к работе в крупных и инновационных проектах.",Прочее
391,Какие программы бакалавриата предлагает Astana IT University (AITU / аиту)?,"Astana IT University предлагает программы бакалавриата в области информационных технологий, такие как компьютерные науки, программирование, анализ данных и кибербезопасность.",Прочее
392,Какие программы магистратуры доступны в Astana IT University (AITU / аиту)?,"Astana IT University предлагает программы магистратуры, связанные с информационными технологиями, такие как компьютерные науки, бизнес-информатика и кибербезопасность.",Прочее
393,Что такое AITU Excellence Test и для чего он нужен?,"AITU Excellence Test — это тест, который проводится в университете для того, чтобы выявить одаренных студентов и предоставить им возможность получить образование с полным или частичным грантом.",Прочее
394,Какие научные исследования проводятся в Astana IT University (AITU / аиту)?,"Astana IT University активно участвует в научных исследованиях и инновационных проектах, сотрудничая с национальными и международными научными организациями. Основные направления исследований включают разработку технологий и решений в области кибербезопасности, искусственного интеллекта, больших данных и других смежных областей.",Наука
395,Какие возможности для международного обмена предоставляет Astana IT University (AITU / аиту)?,Astana IT University сотрудничает с различными зарубежными университетами и предоставляет студентам возможности для международного обмена и учебы за рубежом. Это позволяет студентам расширить свои горизонты и получить опыт обучения в другой стране.,Международные программы
396,Какая стипендия предоставляется студентам AITU?,"Astana IT University предоставляет различные типы стипендий для успешных студентов, включая академические стипендии, стипендии за достижения в научных исследованиях и другие виды поддержки.","Стипендии, Учебный процесс"
397,Где находится Astana IT University (AITU / аиту)?,Astana IT University расположен в столице Казахстана - Нур-Султане (бывшая Астана).,"Общежитие, Общая информация"
398,Какие программы предлагает Astana IT University (AITU / аиту)?,"Astana IT University предлагает программы бакалавриата и магистратуры в области информационных технологий, включая компьютерные науки, программирование, анализ данных и кибербезопасность.",Образовательные программы
399,Какие преимущества учебы в Astana IT University (AITU / аиту)?,"Astana IT University предоставляет доступ к актуальным знаниям, сотрудничество с ведущими компаниями, возможности стажировки и активное участие в научных исследованиях, что позволяет студентам успешно работать в IT-индустрии и вносить вклад в развитие Казахстана.","Учебный процесс, Общая информация"
