,questions,answers,classes
174,"Этические и юридические аспекты умных технологий: Обсуждение этических и юридических вопросов, связанных с использованием умных технологий, Защита приватности данных и ответственность в умных технологиях, Нормативные аспекты и законодательство в области умных технологий",AITU_ethics_legislation_smart_tech,Smart Technologies
177,Какой план обучения на Smart Technologies?,"1. Основы умных технологий: введение в концепцию умных технологий, их роль и применение в различных сферах, а также обзор современных тенденций и развития.\n2. Интернет вещей (IoT): понимание архитектуры IoT, протоколов связи, устройств и сенсоров, а также методов сбора, передачи и анализа данных.\n3. Системы умного дома: изучение интеллектуальных систем, применяемых в домашней среде, таких как автоматизация освещения, отопления и кондиционирования, системы безопасности и контроля доступа, умные бытовые приборы и системы управления энергопотреблением.\n4. Умные города: основы создания интеллектуальных городских систем, включая системы управления транспортом, мониторинг окружающей среды, управление энергопотреблением, общественную безопасность и улучшение городской инфраструктуры.\n5. Безопасность умных технологий: основы обеспечения безопасности и защиты данных в системах умных технологий, включая защиту персональной информации, кибербезопасность и этические аспекты.\n6. Искусственный интеллект (ИИ): введение в основы и методы искусственного интеллекта, машинного обучения и глубокого обучения, их применение в умных технологиях и анализе данных.\n7. Большие данные и анализ данных: методы сбора, хранения, обработки и анализа больших объемов данных, методы машинного обучения и анализа данных для извлечения ценной информации и принятия умных решений.\n8. Распределенные системы и облачные вычисления: архитектура распределенных систем, облачные технологии, управление ресурсами и безопасность в облачных вычислениях, а также применение облачных решений в умных технологиях.\n9. Робототехника и автономные системы: основы разработки и программирования роботов, автономных систем и дронов, их взаимодействие с окружающей средой и применение в различных областях, таких как промышленность, медицина и транспорт.\n10. Этические и юридические аспекты умных технологий: обсуждение этических и юридических вопросов, связанных с использованием умных технологий, включая приватность данных, ответственность и нормативные аспекты.",AITU_cybersecurity_course_content
178,Что проходят на Smart Technologies?,"В программе по умным технологиям (Smart Technologies) обычно рассматриваются следующие темы: 1. Основы умных технологий: введение в концепцию умных технологий, их роль и применение в различных сферах, а также обзор современных тенденций и развития. 2. Интернет вещей (IoT): понимание архитектуры IoT, протоколов связи, устройств и сенсоров, а также методов сбора, передачи и анализа данных."," ""AITU_bigdata_curriculum_structure"""
179,Что проходят на Industrial Internet of Things?,"Программа по Industrial Internet of Things (IIoT) обычно включает следующие темы: 1. Основы Industrial Internet of Things: введение в концепцию IIoT, его роль и значимость для промышленности, а также обзор технологий и стандартов, используемых в IIoT. 2. Промышленные сети и протоколы: изучение протоколов связи и сетевых архитектур, применяемых в промышленных средах, включая Ethernet, Modbus, Profibus, OPC-UA и другие. 3. Датчики и устройства IIoT: обзор различных типов датчиков и устройств, используемых в IIoT, таких как датчики измерения температуры, давления, вибрации, устройства сбора данных и умные контроллеры. 4. Системы сбора и анализа данных: методы сбора, хранения и обработки данных, сенсорные сети, базы данных, облачные вычисления и аналитика данных в промышленном контексте. 5. Киберфизические системы: понимание концепции киберфизических систем, которые объединяют физические устройства, сенсоры и сети с цифровыми системами и аналитикой для оптимизации процессов и принятия управленческих решений. 6. Безопасность IIoT: основы обеспечения безопасности и защиты данных в промышленных сетях и системах IIoT, включая аутентификацию, шифрование данных, механизмы контроля доступа и обнаружение угроз. 7. Интеграция систем и протоколов: методы интеграции различных систем и протоколов в IIoT, включая интеграцию существующих систем автоматизации и управления производством (SCADA, DCS) с современными технологиями IIoT. 8. Промышленная автоматика и управление производством: применение IIoT в автоматизации и управлении производственными процессами, мониторинге и контроле оборудования, оптимизации энергопотребления и предиктивном обслуживании. 9. Применение IIoT в различных отраслях: изучение конкретных примеров и применений IIoT в различных промышленных отраслях, таких как производство, энергетика, транспорт, здравоохранение и другие. 10. Управление проектами и реализация IIoT: основы управления проектами в области IIoT, включая планирование, развертывание и масштабирование систем IIoT, а также анализ ROI и оценку бизнес-преимуществ."," ""AITU_cybersecurity_course_content"""
180,Какой план обучения на IT Management (IT менеджмент)? Что проходят на IT Management (IT менеджмент)?,"Программа по IT-менеджменту (IT Management) обычно включает следующие темы: 1. Управление информационными технологиями: введение в область IT-менеджмента, роль и значимость информационных технологий в организации, основные концепции и модели управления IT. 2. IT-стратегия и планирование: разработка стратегии информационных технологий, выработка целей и планов, выравнивание IT-стратегии с бизнес-стратегией организации. 3. Управление проектами IT: методологии управления проектами в области информационных технологий, планирование, выполнение и контроль проектов, управление рисками и ресурсами. 4. Управление IT-сервисами: основы организации и предоставления IT-сервисов, управление каталогом сервисов, процессы поддержки и обеспечения качества IT-сервисов. 5. IT-инфраструктура и операции: планирование, развертывание и управление IT-инфраструктурой, включая сети, серверы, базы данных, хранилища данных, облачные решения и безопасность. 6. Управление IT-процессами: методы и модели управления IT-процессами, такие как ITIL (Information Technology Infrastructure Library), COBIT (Control Objectives for Information and Related Technologies), и ISO/IEC 20000. 7. Бюджетирование и финансовый аспект IT: планирование и управление IT-бюджетом, оценка стоимости проектов и сервисов, расчет ROI (Return on Investment) и бизнес-ценности IT-инвестиций. 8. Управление изменениями и инновациями: внедрение изменений в IT-организации, управление инновациями, оценка и адаптация новых технологий и трендов. 9. Управление командой и коммуникации: лидерство в IT-организации, формирование и развитие команды, эффективное общение с заинтересованными сторонами и управление конфликтами. 10. Этические и правовые аспекты IT: обсуждение этических и правовых вопросов, связанных с использованием информационных технологий, включая конфиденциальность данных, защиту информации и соблюдение нормативных требований. Это лишь общий обзор тем, которые могут быть включены в программу по IT-менеджменту. Со списком дисциплин подробнее можно ознакомиться на сайте: https://astanait.edu.kz/it-management/"," ""IT Managament"""
181,"Технический аспект предпринимательства: понимание технологических аспектов IT-проектов, разработка и управление техническими решениями, прототипирование и разработка MVP (Minimum Viable Product).","Technical aspect of entrepreneurship: understanding technological aspects of IT projects, development and management of technical solutions, prototyping, and Minimum Viable Product (MVP) development.",IT Entrepreneurship
182,"Финансирование стартапов: источники финансирования стартапов, бизнес-ангелы, венчурные капиталы, гранты, привлечение инвестиций и управление финансами стартапа.","Startup financing: sources of startup funding, business angels, venture capital, grants, attracting investments, and startup financial management.","training plan, IT Entrepreneurship"
183,"Управление командой и рост предпринимательского проекта: построение и управление командой, развитие лидерских навыков, управление ростом и масштабирование бизнеса.","Team management and growth of entrepreneurial projects: team building and management, leadership development, business growth, and scaling.","training plan, IT Entrepreneurship"
184,"Правовые аспекты и интеллектуальная собственность: основы юридических аспектов предпринимательства, регистрация бизнеса, защита интеллектуальной собственности и соблюдение законодательства.","Legal aspects and intellectual property: basics of legal aspects in entrepreneurship, business registration, intellectual property protection, and compliance with legislation.","training plan, IT Entrepreneurship"
185,"Управление рисками и стратегическое планирование: оценка и управление рисками в предпринимательском проекте, стратегическое планирование и принятие решений.","Risk management and strategic planning: risk assessment and management in entrepreneurial projects, strategic planning, and decision-making.","training plan, IT Entrepreneurship"
186,"Экосистема стартапов и связи с индустрией: знакомство с инкубаторами, акселераторами, технопарками и другими элементами экосистемы стартапов, создание связей с индустрией и налаживание партнерских отношений.","Startup ecosystem and industry connections: introduction to incubators, accelerators, technology parks, and other elements of the startup ecosystem, establishing industry connections and building partnerships.","training plan, IT Entrepreneurship"
187,"Основы предпринимательства: введение в предпринимательскую деятельность, основные концепции и принципы предпринимательства, планирование и создание нового бизнеса.","Introduction to entrepreneurship: Introduction to entrepreneurial activities, basic concepts and principles of entrepreneurship, planning and creating a new business.","training plan, IT Entrepreneurship"
188,"Инновации и идеи в IT: стимулирование и развитие инновационных идей в области информационных технологий, обнаружение рыночных возможностей и создание ценности.","Innovations and ideas in IT: stimulation and development of innovative ideas in the field of information technology, identification of market opportunities and value creation.","training plan, IT Entrepreneurship"
189,"Развитие бизнес-модели: проектирование и анализ бизнес-модели, исследование рынка и целевой аудитории, определение уникального предложения и построение стратегии продукта.","Business model development: design and analysis of business models, market research and target audience, defining unique value proposition and product strategy.","training plan, IT Entrepreneurship"
190,"Технический аспект предпринимательства: понимание технологических аспектов IT-проектов, разработка и управление техническими решениями, прототипирование и разработка MVP (Minimum Viable Product).","Technical aspect of entrepreneurship: understanding technological aspects of IT projects, development and management of technical solutions, prototyping, and Minimum Viable Product (MVP) development.","training plan, IT Entrepreneurship"
192,"Маркетинг и продвижение: основы маркетинга для IT-предпринимателей, стратегии продвижения продукта и привлечение клиентов, цифровой маркетинг и социальные медиа.","Marketing and promotion: basics of marketing for IT entrepreneurs, product promotion strategies, customer acquisition, digital marketing, and social media.","training plan, IT Entrepreneurship"
197,"Основы журналистики: введение в профессию журналиста, основные принципы и этические стандарты, роль и значимость журналистики в цифровой эпохе.","Introduction to journalism: Introduction to the journalism profession, basic principles and ethical standards, the role and significance of journalism in the digital era.",Digital Journalism
198,"Цифровые навыки для журналиста: освоение инструментов и технологий, используемых в цифровой журналистике, включая работу с социальными медиа, создание и редактирование цифрового контента, базовые навыки веб-дизайна и разработки.","Digital skills for journalists: Mastering the tools and technologies used in digital journalism, including working with social media, creating and editing digital content, basic web design and development skills.",Digital Journalism
199,"Репортаж и редактирование в цифровой среде: методы сбора и анализа информации, интервьюирование, написание статей и репортажей, использование мультимедийных элементов (фотографий, видео, аудио) в журналистской работе.","Reporting and editing in the digital environment: Methods of gathering and analyzing information, conducting interviews, writing articles and reports, using multimedia elements (photos, videos, audio) in journalism.",Digital Journalism
200,"Исследовательская журналистика и данных: использование цифровых инструментов и методов для проведения исследовательской журналистики, работа с большими объемами данных, визуализация данных и представление результатов.","Investigative journalism and data: Using digital tools and methods for investigative journalism, working with large volumes of data, data visualization, and presentation of results.",Digital Journalism
201,"Мобильная журналистика: использование мобильных устройств и приложений для съемки, редактирования и публикации контента на месте событий, стриминг и живые трансляции.","Mobile journalism: Using mobile devices and applications for shooting, editing, and publishing content on location, streaming, and live broadcasts.",Digital Journalism
202,"Социальные медиа и цифровой маркетинг: стратегии использования социальных медиа в журналистике, распространение контента через социальные платформы, создание и управление персональными брендами в социальных медиа.","Social media and digital marketing: Strategies for using social media in journalism, content distribution through social platforms, creating and managing personal brands in social media.",Digital Journalism
203,"Аналитика и измерение успеха: использование инструментов аналитики для измерения эффективности контента, анализ поведения аудитории, оптимизация стратегий публикации и распространения контента.","Analytics and measuring success: Using analytics tools to measure content effectiveness, analyzing audience behavior, optimizing publishing and distribution strategies.",Digital Journalism
204,"Юридические и этические аспекты цифровой журналистики: правовые ограничения и нормы, связанные с публикацией контента в сети, защита авторских прав, этические вопросы в использовании цифровых источников и технологий.","Legal and ethical aspects of digital journalism: Legal restrictions and norms related to content publication on the web, protection of copyright, ethical issues in the use of digital sources and technologies.",Digital Journalism
205,"Интерактивная журналистика и взаимодействие с аудиторией: создание интерактивного контента, использование инструментов для взаимодействия с аудиторией, учет мнения и обратной связи читателей.","Interactive journalism and audience engagement: Creating interactive content, using tools to engage with the audience, taking into account readers' opinions and feedback.",Digital Journalism
206,"Тенденции и инновации в цифровой журналистике: изучение актуальных тенденций и новых технологий в цифровой журналистике, включая виртуальную и дополненную реальность, искусственный интеллект, автоматизацию процессов и т.д.","Trends and innovations in digital journalism: Studying current trends and new technologies in digital journalism, including virtual and augmented reality, artificial intelligence, process automation, etc.",Digital Journalism
207,questions,answers,classes
208,Сколько лет проходит магистратура в Astana IT University?,Срок обучения на магистратуре в AITU - 2 года.," ""Duration"""
209,На каком языке проходит обучение на магистратуре в Astana IT University?,"2-ух годичное обучение в смешанном формате (Казахский, русский, английский)"," ""Language"""
210,Какие образовательные программы есть на магистратуре в Astana IT University?,Наш университет предлагает следующие образовательные программы на магистратуру: 1. Прикладная аналитика данных 2. Вычислительные науки 3. Компьютерные науки и инженерия 4. Проектный менеджмент 5. Цифровые государственное управление и услуги 6. Медиа технологии," ""Programs"""
211,Какие документы нужно\\необходимо собрать для поступления на магистратуру?,"Прикрепить заявление на магистратуру (https://admission.astanait.edu.kz/magistratura#rec334587707) Диплом об окончании бакалавриата (оригинал) Приложение к диплому (оригинал) Сертификат КТ Удостоверение личности (копия) Фото 3х4 (6 шт.) При наличии, сертификат IELTS/TOEFL IBT/TOEFL ITP/APTIS/Interpress (г. Алматы, Астана и Караганда) (копия) Справка по форме 075 (оригинал) Документ, подтверждающий трудовую деятельность (для лиц, имеющих трудовой стаж) список научных и научно-методических работ (в случае их наличия) Чек об оплате за обучение (при поступлении на платное отделение)"," ""Documents"""
212,Как можно получить скидку на обучение магистратуры?,"Магистрантам, зачисленным на 1 курс на платной основе, предоставляются следующие виды скидок:  Обладателям диплома с отличием предыдущего уровня образования - 30% Обладателям диплома предыдущего уровня образования с GPA от 3,6 и выше -20% Выпускникам Университета, поступившим в магистратуру -30%"," ""Discounts"""
213,что такое AITU ICode?,"AITU ICode - Республиканская олимпиада по программированию для учащихся 9-12 классов. Соревнования проводятся в 3 этапа: 1 этап (Уровень сложности: легкий. Формат: онлайн. Площадка: ejudge) - Решение задач на одном из языков программирования (Python, C++, Java, Pascal) с применением условных операторов, циклов, функций. 2 этап (Уровень сложности: средний. Формат: онлайн. Площадка: ejudge) - Решение задач на одном из языков программирования (Python, C++, Java, Pascal) с применением массивов, строк. Второй этап может включать в себя темы первого этапа. 3 этап (Уровень сложности: сложный. Формат: офлайн. Площадка: ejudge) - Решение задач на одном из языков программирования (Python, C++, Java, Pascal) с применением рекурсии, базовых алгоритмов и структур данных. Третий этап может включать в себя темы второго этапа. Подробнее с олимпиадой можно ознакомиться здесь: https://www.icode.astanait.edu.kz/"," ""AITU ICode"""
214,Как поступить в колледж АИТУ (ASTANA IT COLLEGE)?,"  ""Этапы поступления в колледж АИТУ: 1. Сдать государственные экзамены и получить аттестат 2. Зарегистрироваться на этом сайте 3. Подать заявление на грант/обучение через nursultan.pem.kz 4. Принести пакет документов в университет.""",Колледж АИТУ
215,Какие специальности есть в колледже ASTANA IT COLLEGE/ Какие образовательные программы ОП есть в колледже ASTANA IT COLLEGE?," ""ASTANA IT COLLEGE предлагает следующие образовательные программы: 1. Программное обеспечение 2. Вычислительная техника и информационные сети. Подробности об образовательных программах можно узнать у колледжа АИТУ.""",Колледж АИТУ
216,До какого числа проходит прием заявлений на творческий экзамен?," ""Прием заявлений на творческий экзамен проходит до 7 июля."""," ""Прием заявлений на творческий экзамен"""
217,До какого числа проходит прием заявлений для участия в конкурсе государственных грантов?," ""Прием заявлений для участия в конкурсе государственных грантов проходит с 13 по 20 июля."""," ""Конкурс государственных грантов"""
218,Когда начинает работать/открывается приемная комиссия Astana IT University?," ""1 июня - Открытие приемной комиссии."""," ""Открытие приемной комиссии"""
219,До какого числа работает приемная комиссия? Когда закрывается приемная комиссия?," ""25 августа - Закрытие приемной комиссии."""," ""Закрытие приемной комиссии"""
220,"Где кабинет 1с?, ответ:  Кабинет 1с находится на втором этаже первого блока - С.1.1.239."," ""Расположение кабинета 1С"""," ""Кабинет 1С"""
221,Что нужно сдать чтобы поступить в АИТУ?," ""Для поступления вам нужно сдать ЕНТ и АЕТ."""," ""Сдача ЕНТ и АЕТ для поступления"""
222,Сколько времени дают на АЕТ?," ""На каждый модуль АЕТ дают по часу."""," ""Время на сдачу АЕТ"""
223,Сколько дней университет делает справку с места учебы?," ""Обычно университет делает справку с места учебы за 2-3 рабочих дня."""," ""Сроки выдачи справки с места учебы"""
226,Что дает олимпиада AITU IQyn в случае выигрыша?/ что если победить олимпиаду Айкын?," ""Победители олимпиады AITU IQyn пропускают первый модуль АЕТ."""," ""Преимущества победы в олимпиаде AITU IQyn"""
227,2 этап IQyn оффлайн будет?," ""В 2023 году второй этап олимпиады IQyn был онлайн с веб-камерой."""," ""Формат второго этапа олимпиады IQyn в 2023 году"""
228,Сколько стоит проживание в общежитии?," ""Проживание в общежитии стоит 30000 тенге в месяц."""," ""Стоимость проживания в общежитии АИТУ"""
229,Учеба когда заканчивается?,Учеба заканчивается в июне.,Учебный год
230,"Если учась на ректорском гранте, и если будешь активистом, учиться отлично и тд, то возможно будет получать стипендию",Стипендия выдаётся только на государственном гранте,Стипендии
231,"Если закрыть сессию по предмету на 60%, но при этом все задания за триместр были сделаны на 100, как расчет идет, формула расчета?",Register midterm * 0.3 + register endterm * 0.3 + final * 0.4,Успеваемость
232,"aitu icode, aitu iqyn, aet что для чего и зачем?","Aitu Icode - можете выиграть грант. Aitu iqyn - можете выиграть освобождение от первого модуля АЕТ. АЕТ - вступительный экзамен в универ, обязателен для поступления",Вступительные экзамены
233,Когда выйдут результаты АЕТ?,Результаты выходят сразу же. Список прошедших потоков выходит спустя день-два на сайте https://admission.astanait.edu.kz/aet,Вступительные экзамены
234,Где делать документ что ты реально студент?,"Вы можете сделать документ, подтверждающий что вы студент на сайте du.astanait.edu.kz. А также открыть студенческий билет на Kaspi в разделе Гос.услуги",Студенческие документы
235,Есть пробники по АЕТ?,"К сожалению, пробников по АЕТ нет, но можно подготовиться по материалам на сайте университета",Вступительные экзамены
236,Есть ли вероятность получения стипендии при учебе на ректорском гранте и активности в университете?,"Да, вероятность есть, но стипендия выдается только на государственном гранте.",Финансирование
237,"Как производится расчет оценки за предмет, если закрыть сессию на 60%, но все задания были выполнены на 100%?",Оценка за предмет = (Зачет на середине триместра * 0.3) + (Зачет на конце триместра * 0.3) + (Итоговый экзамен * 0.4),Успеваемость
238,Что такое AITU iCode и для чего проводится эта олимпиада?,"AITU iCode - это олимпиада по программированию, на которой можно выиграть грант на обучение.",Олимпиады
239,Какую цель преследует олимпиада AITU iQyn и что позволяет получить ее победа?,AITU iQyn позволяет освободиться от сдачи первого модуля АЕТ.,Олимпиады
240,Что такое АЕТ и зачем он нужен абитуриентам?,"АЕТ - это вступительный экзамен университета, обязательный для поступления.",Вступительные экзамены
241,"Когда выходят результаты АЕТ и где можно узнать, прошел ли абитуриент экзамен?",Результаты выходят практически сразу после экзамена. Список прошедших публикуется на сайте университета спустя день-два.,Вступительные экзамены
242,Как можно подтвердить свой статус студента и где получить соответствующий документ?,"Можно сделать документ, подтверждающий статус студента, на сайте du.astanait.edu.kz. Также студенческий билет можно открыть на Kaspi в разделе 'Гос.услуги'.",Студенческие документы
243,Есть ли пробники по АЕТ и как можно подготовиться к экзамену?,"Пробники по АЕТ отсутствуют, но можно подготовиться, используя материалы, предоставленные на сайте университета.",Вступительные экзамены
244,Какие предметы нужно сдать чтоб поступить на Software Engineering Программная инженерия?,Для того чтобы поступить на специальность Software Engineering нужно сдать ЕНТ по профильным предметам информатика и математика,Software Engineering
245,Какой код у Software Engineering (Программная инженерия)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 057 (код группы образовательных программ) – Информационные технологии (группа образовательных программ), 6B06102 - код Software Engineering",Software Engineering
246,Какой код у Big Data Analysis (Анализ больших данных)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 057 (код группы образовательных программ) – Информационные технологии (группа образовательных программ), 6B06103 - код Big Data Analysis (Анализ больших данных)",Big Data Analysis
247,Какой код у Computer Science (Компьютерные науки)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 057 (код группы образовательных программ) – Информационные технологии (группа образовательных программ), 6B06101 - код Computer Science",Computer Science
248,Какой код у Media Technologies (Медиа технологии)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 057 (код группы образовательных программ) – Информационные технологии (группа образовательных программ), 6B06105 - код Media Technologies (Медиа технологии)",Media Technologies
249,Какой код у Mathematical & Computational Science (Математические и вычислительные науки)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 057 (код группы образовательных программ) – Информационные технологии (группа образовательных программ), 6B06106 - код Mathematical & Computational Science (Математические и вычислительные науки)",Mathematical & Computational Science
250,Какой код у Cybersecurity (Кибербезопасность)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 058 (код группы образовательных программ) – Информационная безопасность (группа образовательных программ), 6B06301 - код Cybersecurity (Кибербезопасность)",Cybersecurity
251,Какой код у Smart Technologies (Умные технологии)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 059 (код группы образовательных программ) – Коммуникации и коммуникационные технологии (группа образовательных программ), 6B06202 - код Smart Technologies (Умные технологии)",Smart Technologies
252,Какой код у Industrial Internet of Things (Промышленный интернет вещей)?,"6В06 (код области образования) – Информационно-коммуникационные технологии (классификация области образования), 063 (код группы образовательных программ) - Электротехника и автоматика (группа образовательных программ), 6B07101 - код Industrial Internet of Things (Промышленный интернет вещей)",Industrial Internet of Things
253,Какой код у IT Management (IT менеджмент)?,"6В04 (код области образования) – Бизнес, управление и право (классификация области образования), 044 (код группы образовательных программ) - Менеджмент и управление (группа образовательных программ), 6B04101 - код IT Management (IT менеджмент)",IT Management
254,Какой код у IT Entrepreneurship (IT предпринимательство)?,"6В04 (код области образования) – Бизнес, управление и право (классификация области образования), 044 (код группы образовательных программ) - Менеджмент и управление (группа образовательных программ), 6B04102 - код IT Entrepreneurship (IT предпринимательство)",IT Entrepreneurship
255,Какой код у Digital Journalism (Цифровая журналистика)?,"6B03 (код области образования) – Социальные науки, журналистика и информация (классификация области образования), 042 (код группы образовательных программ) - Журналистика и репортерское дело, 6B03201 - код Digital Journalism (Цифровая журналистика)",Digital Journalism
256,Software Engineering к какой гоп относится?,Software Engineering относится к группе образовательных программ 057 – «Информационные технологии»,Software Engineering
